latitude,longitude,speed,sats
28.074010, -16.690562, 33.4, 4
28.074010, -16.690562, 33.4, 4
28.074010, -16.690562, 33.4, 4
28.074017, -16.690579, 33.2, 4
28.074017, -16.690579, 33.2, 4
28.074017, -16.690579, 33.2, 4
28.074017, -16.690579, 33.2, 4
28.074020, -16.690596, 33.3, 4
28.074020, -16.690596, 33.3, 4
28.074020, -16.690596, 33.3, 4
28.074020, -16.690596, 33.3, 4
28.074025, -16.690615, 33.4, 4
28.074025, -16.690615, 33.4, 4
28.074025, -16.690615, 33.4, 4
28.074025, -16.690615, 33.4, 4
28.074025, -16.690615, 33.4, 4
28.074027, -16.690634, 33.5, 4
28.074027, -16.690634, 33.5, 4
28.074027, -16.690634, 33.5, 4
28.074027, -16.690634, 33.5, 4
28.074029, -16.690652, 33.5, 4
28.074029, -16.690652, 33.5, 4
28.074029, -16.690652, 33.5, 4
28.074029, -16.690652, 33.5, 4
28.074029, -16.690652, 33.5, 4
28.074031, -16.690669, 32.2, 4
28.074031, -16.690669, 32.2, 4
28.074031, -16.690669, 32.2, 4
28.074031, -16.690669, 32.2, 4
28.074031, -16.690685, 30.4, 4
28.074031, -16.690685, 30.4, 4
28.074031, -16.690685, 30.4, 4
28.074031, -16.690685, 30.4, 4
28.074031, -16.690685, 30.4, 4
28.074029, -16.690701, 29.8, 4
28.074029, -16.690701, 29.8, 4
28.074029, -16.690701, 29.8, 4
28.074029, -16.690701, 29.8, 4
28.074025, -16.690718, 29.8, 4
28.074025, -16.690718, 29.8, 4
28.074025, -16.690718, 29.8, 4
28.074025, -16.690718, 29.8, 4
28.074018, -16.690735, 31.0, 4
28.074018, -16.690735, 31.0, 4
28.074018, -16.690735, 31.0, 4
28.074018, -16.690735, 31.0, 4
28.074018, -16.690735, 31.0, 4
28.074010, -16.690754, 32.5, 4
28.074010, -16.690754, 32.5, 4
28.074010, -16.690754, 32.5, 4
28.074010, -16.690754, 32.5, 4
28.073999, -16.690773, 33.5, 4
28.073999, -16.690773, 33.5, 4
28.073999, -16.690773, 33.5, 4
28.073999, -16.690773, 33.5, 4
28.073999, -16.690773, 33.5, 4
28.073989, -16.690788, 33.9, 4
28.073989, -16.690788, 33.9, 4
28.073989, -16.690788, 33.9, 4
28.073989, -16.690788, 33.9, 4
28.073977, -16.690803, 34.1, 4
28.073977, -16.690803, 34.1, 4
28.073977, -16.690803, 34.1, 4
28.073977, -16.690803, 34.1, 4
28.073966, -16.690818, 34.4, 4
28.073966, -16.690818, 34.4, 4
28.073966, -16.690818, 34.4, 4
28.073966, -16.690818, 34.4, 4
28.073954, -16.690834, 34.8, 4
28.073954, -16.690834, 34.8, 4
28.073954, -16.690834, 34.8, 4
28.073954, -16.690834, 34.8, 4
28.073943, -16.690850, 34.7, 4
28.073943, -16.690850, 34.7, 4
28.073943, -16.690850, 34.7, 4
28.073943, -16.690850, 34.7, 4
28.073943, -16.690850, 34.7, 4
